User,Product,Quantity,Date Added
nasqik,Yoga mat,2,23/12/2024
nasqik,Water bottle small,1,14/12/2024
buzua,Resistance band light,3,25/12/2024
illavaria,Elastic resistance band 3 levels,1,28/12/2024
mari_sova,Fitness Ball,1,09/09/2024
alina_bondar,Sport bag,1,05/12/2024
kira_kaziro,Water bottle small,1,30/10/2024
panda123,Fitness Ball,1,12/11/2024
igor_ivanko,Water bottle small,2,15/01/2024
vera_muravey,Skipping rope,3,20/12/2024
Kostya1987,Yoga mat,1,18/02/2024
nasqik,Jumping rope,2,05/01/2024
buzua,Jumping rope,1,26/12/2024
illavaria,Gloves,2,29/07/2024
mari_sova,Skipping rope,1,10/09/2024
alina_bondar,Resistance band heavy,2,06/12/2024
